Display,Weight,,,,,,
Hell Yes,3,,,,,,
Yes,2,,,,,,
Probably,1,,,,,,
Dun Care,0,,,,,,
Prob Not,-1,,,,,,
No,-2,,,,,,
Hell No,-3,,,,,,
